serial_no,state_ut,accidents_2021,accidents_2022,accidents_2023,accidents_2024,accidents_2024_rank,share_2021_pct,share_2022_pct,share_2023_pct,share_2024_pct,accidents_per_lakh_pop_2021,accidents_per_lakh_pop_2022,accidents_per_lakh_pop_2023,accidents_per_lakh_pop_2024,accidents_per_10k_vehicles_2022,accidents_per_10k_km_roads_2022,vehicle_rate_available,yoy_change_2024_pct,cagr_2021_2024_pct,region
1,Andhra Pradesh,21556,21249,19949,19557,9,5.2,4.6,4.2,4.0,40.8,40.1,37.5,36.7,14.2,1098.5,True,-1.97,-3.19,South
2,Arunachal Pradesh,283,227,287,277,27,0.1,0.0,0.1,0.1,18.5,14.7,18.4,17.6,6.2,42.8,True,-3.48,-0.71,Northeast
3,Assam,7411,7023,7421,7848,16,1.8,1.5,1.5,1.6,21.1,19.9,20.8,21.8,15.6,140.1,True,5.75,1.93,Northeast
4,Bihar,9553,10801,11014,11610,14,2.3,2.3,2.3,2.4,7.8,8.6,8.7,9.0,9.2,357.5,True,5.41,6.72,East
5,Chhattisgarh,12375,13279,13468,14857,11,3.0,2.9,2.8,3.0,42.0,44.5,44.6,48.7,17.0,1171.9,True,10.31,6.28,Central
6,Goa,2849,3011,2846,2682,21,0.7,0.7,0.6,0.5,182.7,192.2,180.7,169.4,26.6,1534.3,True,-5.76,-1.99,West
7,Gujarat,15186,15751,16349,15588,10,3.7,3.4,3.4,3.2,21.8,22.3,22.9,21.5,5.4,588.4,True,-4.65,0.87,West
8,Haryana,9933,10429,10463,9806,15,2.4,2.3,2.2,2.0,33.7,34.9,34.6,32.1,12.1,1691.0,True,-6.28,-0.43,North
9,Himachal Pradesh,2404,2597,2253,2156,22,0.6,0.6,0.5,0.4,32.5,34.9,30.2,28.7,15.2,382.9,True,-4.31,-3.56,North
10,Jharkhand,4728,5175,5315,5196,20,1.1,1.1,1.1,1.1,12.3,13.3,13.5,13.0,8.2,605.6,True,-2.24,3.2,East
11,Karnataka,34647,39762,43440,43062,5,8.4,8.6,9.0,8.8,51.8,59.1,64.2,63.2,14.0,1017.5,True,-0.87,7.52,South
12,Kerala,33296,43910,48091,48834,3,8.1,9.5,10.0,10.0,93.8,123.2,134.4,136.0,28.2,1688.6,True,1.54,13.62,South
13,Madhya Pradesh,48877,54432,55327,56669,2,11.9,11.8,11.5,11.6,57.8,63.6,63.9,64.7,31.4,1448.2,True,2.43,5.05,Central
14,Maharashtra,29477,33383,35243,36118,6,7.1,7.2,7.3,7.4,23.7,26.6,27.9,28.4,8.0,534.1,True,2.48,7.01,West
15,Manipur,366,508,398,299,26,0.1,0.1,0.1,0.1,11.6,15.9,12.3,9.2,14.0,155.0,True,-24.87,-6.52,Northeast
16,Meghalaya,245,246,223,269,28,0.1,0.1,0.0,0.1,7.5,7.4,6.7,8.0,5.6,45.1,True,20.63,3.16,Northeast
17,Mizoram,69,133,106,118,35,0.0,0.0,0.0,0.0,5.7,10.8,8.6,9.4,4.2,66.8,True,11.32,19.59,Northeast
18,Nagaland,746,489,303,129,34,0.2,0.1,0.1,0.0,34.0,22.1,13.6,5.7,8.8,128.4,True,-57.43,-44.29,Northeast
19,Odisha,10983,11663,11992,12375,13,2.7,2.5,2.5,2.5,24.0,25.4,25.9,26.6,11.5,376.2,True,3.19,4.06,East
20,Punjab,5871,6138,6269,6063,17,1.4,1.3,1.3,1.2,19.4,20.1,20.4,19.6,5.0,403.6,True,-3.29,1.08,North
21,Rajasthan,20951,23614,24694,24838,8,5.1,5.1,5.1,5.1,26.4,29.5,30.5,30.3,13.7,824.8,True,0.58,5.84,North
22,Sikkim,155,211,182,149,32,0.0,0.0,0.0,0.0,22.9,30.9,26.4,21.4,24.3,167.0,True,-18.13,-1.31,Northeast
23,Tamil Nadu,55682,64105,67213,67526,1,13.5,13.9,14.0,13.8,72.9,83.7,87.4,87.6,18.3,2265.8,True,0.47,6.64,South
24,Telangana,21315,21619,22903,25986,7,5.2,4.7,4.8,5.3,56.5,57.0,60.1,67.9,15.9,1514.8,True,13.46,6.83,South
25,Tripura,479,575,577,578,25,0.1,0.1,0.1,0.1,11.8,14.0,13.9,13.8,8.8,201.2,True,0.17,6.46,Northeast
26,Uttarakhand,1405,1674,1691,1747,23,0.3,0.4,0.4,0.4,12.3,14.5,14.5,14.9,5.5,253.6,True,3.31,7.53,North
27,Uttar Pradesh,37729,41746,44534,46052,4,9.1,9.0,9.3,9.4,16.3,17.9,18.9,19.3,10.6,827.5,True,3.41,6.87,North
28,West Bengal,11937,13686,13795,13702,12,2.9,3.0,2.9,2.8,12.2,13.9,13.9,13.8,10.7,477.9,True,-0.67,4.7,East
29,Andaman and Nicobar Islands,115,141,143,135,33,0.0,0.0,0.0,0.0,28.8,35.1,35.5,33.4,8.8,738.5,True,-5.59,5.49,Union Territory
30,Chandigarh,208,237,182,169,30,0.1,0.1,0.0,0.0,17.2,19.4,14.8,13.6,2.1,791.7,True,-7.14,-6.69,Union Territory
31,Dadra and Nagar Haveli and Daman and Diu,140,196,182,152,31,0.0,0.0,0.0,0.0,13.0,16.8,14.4,11.1,6.3,1344.3,True,-16.48,2.78,Union Territory
32,Delhi,4720,5652,5834,5657,19,1.1,1.2,1.2,1.2,22.9,27.0,27.3,26.0,4.1,3167.3,True,-3.03,6.22,Union Territory
33,Jammu and Kashmir,5452,6092,6298,5808,18,1.3,1.3,1.3,1.2,40.7,45.1,46.3,42.4,27.4,498.7,True,-7.78,2.13,Union Territory
34,Ladakh,236,374,289,264,29,0.1,0.1,0.1,0.1,79.5,125.1,96.3,87.4,,612.7,False,-8.65,3.81,Union Territory
35,Lakshadweep,4,3,1,0,36,0.0,0.0,0.0,0.0,5.9,4.4,1.4,0.0,1.2,134.7,True,-100.0,-100.0,Union Territory
36,Puducherry,1049,1181,1308,1431,24,0.3,0.3,0.3,0.3,66.8,73.4,79.5,85.0,9.3,2108.4,True,9.4,10.91,Union Territory
